StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q2,Q3,Q4,Q5,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q9
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"By ticking the box the points below, you are agreeing to the statements associated with them:","Please provide your ID unique code (i.e., last two letters of your first name, last 2 letters of your home town, and the last 2 numbers of your phone number)",How would you describe your gender,What is your age?,Which country do you call home?,What was the highest level of sport you competed at?,Please rate each statement that best reflects the extent to which you agree or disagree with each statement in relation to your own sports participation. - I consider myself an athlete.,Please rate each statement that best reflects the extent to which you agree or disagree with each statement in relation to your own sports participation. - I have many goals related to sport.,Please rate each statement that best reflects the extent to which you agree or disagree with each statement in relation to your own sports participation. - Most of my friends are athletes.,Please rate each statement that best reflects the extent to which you agree or disagree with each statement in relation to your own sports participation. - Sport is the most important part of my life.,Please rate each statement that best reflects the extent to which you agree or disagree with each statement in relation to your own sports participation. - I spend more time thinking about sport than anything else.,Please rate each statement that best reflects the extent to which you agree or disagree with each statement in relation to your own sports participation. - I feel bad about myself when I do poorly in sport.,Please rate each statement that best reflects the extent to which you agree or disagree with each statement in relation to your own sports participation. - I would be very depressed if I were injured and could not compete in sport.,How do you feel about being an athlete?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID2""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID6_6""}","{""ImportId"":""QID6_7""}","{""ImportId"":""QID8_TEXT""}"
2024-09-27 04:40:09,2024-09-27 04:40:26,1,,100,16,1,2024-09-27 04:40:26,R_8GlFP6FXC8euXMa,,,,,55.9477,-3.1624,preview,EN,,,,,,,,,,,,,,,
2024-10-04 02:08:04,2024-10-04 02:11:24,0,192.41.114.224,100,199,1,2024-10-04 02:11:24,R_8vZX03PyAHC7qYg,,,,,55.9477,-3.1624,anonymous,EN,1,"1,2,3,4,5,6",IGWM79,1,32,Cymru,1,2,4,2,1,2,2,3,"It was a fun time, as I never took it too seriously."
2024-10-04 02:16:52,2024-10-04 02:23:31,0,192.41.114.224,100,398,1,2024-10-04 02:23:31,R_8AIKPEI308tgrXb,,,,,55.9477,-3.1624,anonymous,EN,1,"1,3,4,5",cose67,1,30,France,3,4,5,5,4,4,5,2,I miss competing internationally. I loved the experience.
2024-10-04 02:23:53,2024-10-04 02:26:12,0,192.41.114.224,100,138,1,2024-10-04 02:26:12,R_8GlVTYi8xPIzgNq,,,,,55.9477,-3.1624,anonymous,EN,0.30000001192092896,"1,2,3,4,5,6",EAIM98,2,30,Deutschland,2,1,1,1,1,1,1,1,I have moved on from sport. I have new things to keep me busy now.
2024-10-04 02:26:32,2024-10-04 02:28:31,0,192.41.114.224,100,118,1,2024-10-04 02:28:31,R_2ZAksMAqjnrfZex,,,,,55.9477,-3.1624,anonymous,EN,1,"1,2,3,4,5,6",acla13,1,27,Wales,3,3,2,1,2,2,4,3,Good.
2024-10-04 02:28:41,2024-10-04 02:31:29,0,192.41.114.224,100,167,1,2024-10-04 02:31:30,R_8V2WZxXDG7fQQya,,,,,55.9477,-3.1624,anonymous,EN,0.20000000298023224,"1,2,3,4,5,6",ZZXX99,4,99999,Jolifornia,3,5,5,5,5,5,5,5,"I don’t have feelings or experiences, but I can imagine that being an athlete must be incredibly rewarding and challenging. Athletes often talk about the thrill of competition, the joy of achieving personal bests, and the camaraderie with teammates. On the flip side, it also involves a lot of hard work, discipline, and sometimes dealing with injuries or setbacks."
2024-10-04 02:31:47,2024-10-04 02:35:55,0,192.41.114.224,100,247,1,2024-10-04 02:35:56,R_2suj3MlEkk48sZH,,,,,55.9477,-3.1624,anonymous,EN,0.699999988079071,"1,2,3,4,5,6",XZYW87,2,69,Jolifornia,2,5,4,3,2,1,2,3,"I don’t have feelings or experiences, but I can share that being an athlete often involves a mix of dedication, passion, and resilience. Athletes usually enjoy the thrill of competition, the satisfaction of achieving their goals, and the sense of community with their teammates. However, it also requires a lot of hard work, discipline, and sometimes dealing with injuries or setbacks."
2024-10-04 02:36:52,2024-10-04 02:38:44,0,192.41.114.224,100,112,1,2024-10-04 02:38:45,R_8Oj0kWJouc4zfpv,,,,,55.9477,-3.1624,anonymous,EN,1,"1,2,3,4,5,6",kaen78,2,28,Germany,1,4,4,2,2,2,4,4,
