StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q2,Q3,Q4,Q5,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q9
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"By ticking the box the points below, you are agreeing to the statements associated with them:","Please provide your ID unique code (i.e., last two letters of your first name, last 2 letters of your home town, and the last 2 numbers of your phone number)",How would you describe your gender,What is your age?,Which country do you call home?,What was the highest level of sport you competed at?,Please rate each statement that best reflects the extent to which you agree or disagree with each statement in relation to your own sports participation. - I consider myself an athlete.,Please rate each statement that best reflects the extent to which you agree or disagree with each statement in relation to your own sports participation. - I have many goals related to sport.,Please rate each statement that best reflects the extent to which you agree or disagree with each statement in relation to your own sports participation. - Most of my friends are athletes.,Please rate each statement that best reflects the extent to which you agree or disagree with each statement in relation to your own sports participation. - Sport is the most important part of my life.,Please rate each statement that best reflects the extent to which you agree or disagree with each statement in relation to your own sports participation. - I spend more time thinking about sport than anything else.,Please rate each statement that best reflects the extent to which you agree or disagree with each statement in relation to your own sports participation. - I feel bad about myself when I do poorly in sport.,Please rate each statement that best reflects the extent to which you agree or disagree with each statement in relation to your own sports participation. - I would be very depressed if I were injured and could not compete in sport.,How do you feel about being an athlete?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID2""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID6_6""}","{""ImportId"":""QID6_7""}","{""ImportId"":""QID8_TEXT""}"
2024-09-27 04:40:09,2024-09-27 04:40:26,Survey Preview,,100,16,True,2024-09-27 04:40:26,R_8GlFP6FXC8euXMa,,,,,55.9477,-3.1624,preview,EN,,,,,,,,,,,,,,,
2024-10-04 02:08:04,2024-10-04 02:11:24,IP Address,192.41.114.224,100,199,True,2024-10-04 02:11:24,R_8vZX03PyAHC7qYg,,,,,55.9477,-3.1624,anonymous,EN,1,"I confirm that I have read and understood the Participant Information Sheet for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can leave the survey at any time without giving a reason. Please note that any answers you have provided in the survey up to the point of leaving may still be used. Once the survey is submitted, you will not be able to withdraw anymore as your data is anonymous and cannot be retrieved.,I understand that relevant sections of my data collected during the study may be looked at by individuals from the Sponsor (University of Edinburgh), where it is relevant to my taking part in this research. I give permission for these individuals to have access to my data.,I understand that my anonymised data will be archived so that it may be used for future ethically approved research,I agree to take part in the above study",IGWM79,Male,32,Cymru,Regional,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,"It was a fun time, as I never took it too seriously."
2024-10-04 02:16:52,2024-10-04 02:23:31,IP Address,192.41.114.224,100,398,True,2024-10-04 02:23:31,R_8AIKPEI308tgrXb,,,,,55.9477,-3.1624,anonymous,EN,1,"I confirm that I have read and understood the Participant Information Sheet for the study.,I understand that my participation is voluntary and that I can leave the survey at any time without giving a reason. Please note that any answers you have provided in the survey up to the point of leaving may still be used. Once the survey is submitted, you will not be able to withdraw anymore as your data is anonymous and cannot be retrieved.,I understand that relevant sections of my data collected during the study may be looked at by individuals from the Sponsor (University of Edinburgh), where it is relevant to my taking part in this research. I give permission for these individuals to have access to my data.,I understand that my anonymised data will be archived so that it may be used for future ethically approved research",cose67,Male,30,France,International,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,I miss competing internationally. I loved the experience.
2024-10-04 02:23:53,2024-10-04 02:26:12,IP Address,192.41.114.224,100,138,True,2024-10-04 02:26:12,R_8GlVTYi8xPIzgNq,,,,,55.9477,-3.1624,anonymous,EN,0.30000001192092896,"I confirm that I have read and understood the Participant Information Sheet for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can leave the survey at any time without giving a reason. Please note that any answers you have provided in the survey up to the point of leaving may still be used. Once the survey is submitted, you will not be able to withdraw anymore as your data is anonymous and cannot be retrieved.,I understand that relevant sections of my data collected during the study may be looked at by individuals from the Sponsor (University of Edinburgh), where it is relevant to my taking part in this research. I give permission for these individuals to have access to my data.,I understand that my anonymised data will be archived so that it may be used for future ethically approved research,I agree to take part in the above study",EAIM98,Female,30,Deutschland,National,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,I have moved on from sport. I have new things to keep me busy now.
2024-10-04 02:26:32,2024-10-04 02:28:31,IP Address,192.41.114.224,100,118,True,2024-10-04 02:28:31,R_2ZAksMAqjnrfZex,,,,,55.9477,-3.1624,anonymous,EN,1,"I confirm that I have read and understood the Participant Information Sheet for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can leave the survey at any time without giving a reason. Please note that any answers you have provided in the survey up to the point of leaving may still be used. Once the survey is submitted, you will not be able to withdraw anymore as your data is anonymous and cannot be retrieved.,I understand that relevant sections of my data collected during the study may be looked at by individuals from the Sponsor (University of Edinburgh), where it is relevant to my taking part in this research. I give permission for these individuals to have access to my data.,I understand that my anonymised data will be archived so that it may be used for future ethically approved research,I agree to take part in the above study",acla13,Male,27,Wales,International,Neither agree nor disagree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Good.
2024-10-04 02:28:41,2024-10-04 02:31:29,IP Address,192.41.114.224,100,167,True,2024-10-04 02:31:30,R_8V2WZxXDG7fQQya,,,,,55.9477,-3.1624,anonymous,EN,0.20000000298023224,"I confirm that I have read and understood the Participant Information Sheet for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can leave the survey at any time without giving a reason. Please note that any answers you have provided in the survey up to the point of leaving may still be used. Once the survey is submitted, you will not be able to withdraw anymore as your data is anonymous and cannot be retrieved.,I understand that relevant sections of my data collected during the study may be looked at by individuals from the Sponsor (University of Edinburgh), where it is relevant to my taking part in this research. I give permission for these individuals to have access to my data.,I understand that my anonymised data will be archived so that it may be used for future ethically approved research,I agree to take part in the above study",ZZXX99,Prefer not to say,99999,Jolifornia,International,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"I don’t have feelings or experiences, but I can imagine that being an athlete must be incredibly rewarding and challenging. Athletes often talk about the thrill of competition, the joy of achieving personal bests, and the camaraderie with teammates. On the flip side, it also involves a lot of hard work, discipline, and sometimes dealing with injuries or setbacks."
2024-10-04 02:31:47,2024-10-04 02:35:55,IP Address,192.41.114.224,100,247,True,2024-10-04 02:35:56,R_2suj3MlEkk48sZH,,,,,55.9477,-3.1624,anonymous,EN,0.699999988079071,"I confirm that I have read and understood the Participant Information Sheet for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can leave the survey at any time without giving a reason. Please note that any answers you have provided in the survey up to the point of leaving may still be used. Once the survey is submitted, you will not be able to withdraw anymore as your data is anonymous and cannot be retrieved.,I understand that relevant sections of my data collected during the study may be looked at by individuals from the Sponsor (University of Edinburgh), where it is relevant to my taking part in this research. I give permission for these individuals to have access to my data.,I understand that my anonymised data will be archived so that it may be used for future ethically approved research,I agree to take part in the above study",XZYW87,Female,69,Jolifornia,National,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Neither agree nor disagree,"I don’t have feelings or experiences, but I can share that being an athlete often involves a mix of dedication, passion, and resilience. Athletes usually enjoy the thrill of competition, the satisfaction of achieving their goals, and the sense of community with their teammates. However, it also requires a lot of hard work, discipline, and sometimes dealing with injuries or setbacks."
2024-10-04 02:36:52,2024-10-04 02:38:44,IP Address,192.41.114.224,100,112,True,2024-10-04 02:38:45,R_8Oj0kWJouc4zfpv,,,,,55.9477,-3.1624,anonymous,EN,1,"I confirm that I have read and understood the Participant Information Sheet for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can leave the survey at any time without giving a reason. Please note that any answers you have provided in the survey up to the point of leaving may still be used. Once the survey is submitted, you will not be able to withdraw anymore as your data is anonymous and cannot be retrieved.,I understand that relevant sections of my data collected during the study may be looked at by individuals from the Sponsor (University of Edinburgh), where it is relevant to my taking part in this research. I give permission for these individuals to have access to my data.,I understand that my anonymised data will be archived so that it may be used for future ethically approved research,I agree to take part in the above study",kaen78,Female,28,Germany,Regional,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,
